,City_ID,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,0,hu,csengele,46.542336,19.863584,66.02,78,12,6.49,1631602612
1,1,ir,delijan,33.9905,50.6838,86.07,10,0,4.83,1631602614
2,2,co,colon,1.191167,-76.9685,49.64,84,0,2.28,1631602615
3,3,no,lyngseidet,69.583333,20.216667,42.89,98,100,3.33,1631602617
4,4,pl,trzebiatow,54.059404,15.279377,57.47,78,100,5.48,1631602618
5,5,dk,storvorde,57.003916,10.101252,57.52,98,90,0,1631602620
6,6,cn,datong,40.093611,113.291389,77.76,31,100,10.31,1631602622
7,7,bw,sefophe,-22.1833333,27.9666667,70.3,46,0,11.5,1631602622
8,8,bd,kaliganj,23.4166667,89.1333333,77.63,95,100,13.42,1631602624
9,9,nz,waitati,-45.75,170.566667,42.8,84,63,3.33,1631602624
10,10,ru,ilovka,50.7053,38.637,71.92,48,45,8.81,1631602625
11,11,in,patnagarh,20.716667,83.15,80.19,87,100,11.56,1631602627
12,12,br,santa cruz do sul,-29.716667,-52.433333,63.93,98,61,2.08,1631602627
13,13,gt,panzos,15.4,-89.666667,71.94,99,58,2.26,1631602629
14,14,ro,salatrucu,45.333333,24.516667,59.95,48,18,0.85,1631602630
15,15,ru,anuchino,43.962222,133.054444,59.34,87,84,5.32,1631602632
16,16,mx,cintalapa,16.733333,-93.716667,67.87,99,100,2.8,1631602632
17,17,in,kant,27.8,79.8,93.13,55,9,15.73,1631602634
18,18,fo,leirvik,62.2166667,-6.6833333,,,,,
19,19,co,jardin,5.599018,-75.819758,60.19,98,51,0.51,1631602635
20,20,in,barsi,18.233333,75.7,82.49,64,100,14.45,1631602637
21,21,gr,ormos korthiou,37.7666667,24.95,,,,,
22,22,be,nevele,51.033333,3.55,58.64,89,100,8.39,1631602638
23,23,ug,masaka,-0.3127778,31.7130556,81.01,37,32,1.99,1631602639
24,24,in,baj baj,22.474722,88.170278,78.76,97,100,14.45,1631602641
25,25,in,guskhara,23.5,87.75,77.11,98,100,14.09,1631602642
26,26,gb,kinlochleven,56.7,-4.966667,55.29,95,100,3.13,1631602642
27,27,es,ermua,43.1879,-2.503497,68.77,78,100,5.57,1631602506
28,28,it,cervia,44.261667,12.358889,68.95,70,0,4.61,1631602477
29,29,in,peddapuram,17.083333,82.133333,87.89,69,100,14.72,1631602645
30,30,tz,sirari,-1.2333333,34.4333333,76.21,41,96,7.34,1631602645
31,31,mx,san bartolo del llano,19.590833,-99.743889,53.53,98,98,2.46,1631602647
32,32,cl,ovalle,-30.598333,-71.200278,49.77,64,0,1.7,1631602516
33,33,sk,svit,49.0666667,20.2,59.74,87,40,2.3,1631602648
34,34,kn,cayon,17.35,-62.7333333,77.83,80,100,14.79,1631602650
35,35,us,alma,43.3788889,-84.6597222,61.75,98,90,4.61,1631602651
36,36,ni,san lorenzo,12.3833333,-85.6666667,71.42,93,69,4,1631602652
37,37,ro,glodeanul sarat,44.866667,26.65,,,,,
38,38,id,kalianget,-7.05,113.933333,86.09,64,47,12.24,1631602654
39,39,fr,guerande,47.329107,-2.428291,65.75,87,100,14.56,1631602654
40,40,id,biak,-1.166007,136.09717,81.75,72,95,6.71,1631602656
41,41,pl,bochnia,49.97215,20.426816,61.59,87,2,0.74,1631602656
42,42,in,krishnagiri,12.533333,78.233333,89.11,47,100,17,1631602658
43,43,cn,boshan,36.483333,117.833333,78.44,61,32,13.65,1631602658
44,44,ru,glubokiy,44.946731,41.018451,74.28,42,0,5.35,1631602659
45,45,in,ula,22.7225,88.555556,78.78,94,90,10.36,1631602661
46,46,ar,azul,-36.776976,-59.858539,44.98,72,100,7.11,1631602661
47,47,in,rajpur,21.933333,75.133333,87.1,66,49,2.95,1631602608
48,48,ru,ostrovnoy,68.053056,39.513056,45.25,70,100,17.43,1631602663
49,49,uy,durazno,-33.4130556,-56.5005556,52.32,96,100,13.67,1631602665
50,50,it,forli,44.223611,12.052778,72.36,42,66,3.6,1631602513
51,51,ro,ion corvin,44.116667,27.8,71.28,33,6,7.36,1631602667
52,52,gb,muthill,56.316667,-3.833333,54.73,96,100,1.68,1631602669
53,53,ph,bacong,9.7393,124.5656,85.73,71,64,7.34,1631602671
54,54,ph,camflora,13.3508,122.6641,,,,,
55,55,ru,zheleznodorozhnyy,57.912222,102.765278,55,58,100,11.32,1631602595
56,56,in,palanpur,24.166667,72.433333,91.31,58,16,7.81,1631602672
57,57,ph,guiset,16.066667,120.666667,,,,,
58,58,ph,pulilan,14.901667,120.849167,92.1,64,85,2.15,1631602673
59,59,ee,veriora,58.0041667,27.3519444,51.26,62,93,14.81,1631602674
60,60,hr,rab,44.7569444,14.7608333,,,,,
61,61,ir,tabas,33.595856,56.924368,91.62,9,0,4.61,1631602676
62,62,in,bachhraon,28.933333,78.216667,94.06,51,8,8.12,1631602677
63,63,br,dois irmaos,-29.583333,-51.083333,66.24,97,100,4.36,1631602678
64,64,ch,chene-bougeries,46.197545,6.162082,63.03,82,0,2.3,1631602680
65,65,br,imperatriz,-5.533333,-47.483333,78.85,83,0,3.44,1631602578
66,66,ph,tagana-an,9.697222,125.585556,83.71,69,100,7.47,1631602682
67,67,tz,namanga,-2.55,36.7666667,72.19,48,30,5.77,1631602682
68,68,in,kunnamkulam,10.65,76.083333,85.1,84,100,7.74,1631602682
69,69,ro,rebrisoara,47.283333,24.45,67.12,60,46,1.92,1631602685
70,70,rs,vranje,42.551389,21.900278,63.52,32,6,3.27,1631602686
71,71,us,paradise,39.7597222,-121.6208333,88.74,18,0,8.19,1631602688
72,72,pk,minchinabad,30.163001,73.568542,96.13,40,1,8.86,1631602602
73,73,us,lorton,38.7041667,-77.2280556,70.25,91,8,1.92,1631602689
74,74,lu,bech-kleinmacher,49.5308333,6.355,58.59,88,0,6.91,1631602691
75,75,de,rees,51.766667,6.4,55.85,95,100,6.69,1631602673
76,76,us,elk river,45.3038889,-93.5669444,60.57,93,100,10.76,1631602593
77,77,gb,northampton,52.25,-0.883333,57.13,97,100,1.01,1631602693
78,78,bw,pilane,-24.45,26.1333333,64.96,20,0,8.95,1631602695
79,79,ph,anoling,13.2093,123.6761,88.09,70,93,5.53,1631602696
80,80,gn,sangueya,10.7,-14.3666667,74.34,96,100,3.09,1631602462
81,81,ua,pidhaytsi,49.268535,25.133412,59.86,79,96,4.07,1631602697
82,82,ua,lysychovo,48.496768,23.289924,64.35,78,84,2.82,1631602699
83,83,ph,malapag,7.133333,124.816667,86.58,63,100,2.3,1631602700
84,84,in,kandi,23.95,88.033333,77.25,96,100,16.15,1631602701
85,85,fr,saint-pierre-des-corps,47.386229,0.748487,65.95,93,0,3.44,1631602701
86,86,mx,ajijic,20.3,-103.283333,64.8,91,100,3.42,1631602703
87,87,ph,la paz,15.9,120.75,90.19,65,81,2.08,1631602704
88,88,ru,tosno,59.54,30.8775,48.02,60,56,15.84,1631602619
89,89,it,soverato,38.683333,16.55,70.81,68,0,8.66,1631602705
90,90,ua,ordzhonikidze,44.965749,35.356219,72.03,57,100,4.79,1631602706
91,91,ru,krasnyy bogatyr,56.014528,41.129576,52.88,55,100,12.39,1631602708
